UUID,Version,Name (en),Kategorie (en),Bezugseinheit,Modul,GWP,ODP,POCP,AP,EP,ADPE
8c2c1af3-e1b2-4b2a-b820-31cdd5eaab33,00.00.003,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door aluminum,Components for windows and curtain walls' / 'Doors' / 'Aluminium,qm,A1-A3,,,,,,
8c2c1af3-e1b2-4b2a-b820-31cdd5eaab33,00.00.003,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door aluminum,Components for windows and curtain walls' / 'Doors' / 'Aluminium,qm,A4,,,,,,
8c2c1af3-e1b2-4b2a-b820-31cdd5eaab33,00.00.003,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door aluminum,Components for windows and curtain walls' / 'Doors' / 'Aluminium,qm,A5,,,,,,
8c2c1af3-e1b2-4b2a-b820-31cdd5eaab33,00.00.003,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door aluminum,Components for windows and curtain walls' / 'Doors' / 'Aluminium,qm,B1,,,,,,
8c2c1af3-e1b2-4b2a-b820-31cdd5eaab33,00.00.003,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door aluminum,Components for windows and curtain walls' / 'Doors' / 'Aluminium,qm,B2,,,,,,
8c2c1af3-e1b2-4b2a-b820-31cdd5eaab33,00.00.003,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door aluminum,Components for windows and curtain walls' / 'Doors' / 'Aluminium,qm,B3,,,,,,
8c2c1af3-e1b2-4b2a-b820-31cdd5eaab33,00.00.003,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door aluminum,Components for windows and curtain walls' / 'Doors' / 'Aluminium,qm,B4,,,,,,
8c2c1af3-e1b2-4b2a-b820-31cdd5eaab33,00.00.003,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door aluminum,Components for windows and curtain walls' / 'Doors' / 'Aluminium,qm,B5,,,,,,
8c2c1af3-e1b2-4b2a-b820-31cdd5eaab33,00.00.003,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door aluminum,Components for windows and curtain walls' / 'Doors' / 'Aluminium,qm,B6,,,,,,
8c2c1af3-e1b2-4b2a-b820-31cdd5eaab33,00.00.003,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door aluminum,Components for windows and curtain walls' / 'Doors' / 'Aluminium,qm,B7,,,,,,
8c2c1af3-e1b2-4b2a-b820-31cdd5eaab33,00.00.003,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door aluminum,Components for windows and curtain walls' / 'Doors' / 'Aluminium,qm,C1,,,,,,
8c2c1af3-e1b2-4b2a-b820-31cdd5eaab33,00.00.003,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door aluminum,Components for windows and curtain walls' / 'Doors' / 'Aluminium,qm,C2,,,,,,
8c2c1af3-e1b2-4b2a-b820-31cdd5eaab33,00.00.003,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door aluminum,Components for windows and curtain walls' / 'Doors' / 'Aluminium,qm,C3,,,,,,
8c2c1af3-e1b2-4b2a-b820-31cdd5eaab33,00.00.003,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door aluminum,Components for windows and curtain walls' / 'Doors' / 'Aluminium,qm,C4,,,,,,
8c2c1af3-e1b2-4b2a-b820-31cdd5eaab33,00.00.003,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door aluminum,Components for windows and curtain walls' / 'Doors' / 'Aluminium,qm,D,,,,,,
d83bf06c-1b27-4240-8429-0df2b828fe5a,00.00.004,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door steel,Components for windows and curtain walls' / 'Doors' / 'Steel,qm,A1-A3,,,,,,
d83bf06c-1b27-4240-8429-0df2b828fe5a,00.00.004,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door steel,Components for windows and curtain walls' / 'Doors' / 'Steel,qm,A4,,,,,,
d83bf06c-1b27-4240-8429-0df2b828fe5a,00.00.004,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door steel,Components for windows and curtain walls' / 'Doors' / 'Steel,qm,A5,,,,,,
d83bf06c-1b27-4240-8429-0df2b828fe5a,00.00.004,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door steel,Components for windows and curtain walls' / 'Doors' / 'Steel,qm,B1,,,,,,
d83bf06c-1b27-4240-8429-0df2b828fe5a,00.00.004,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door steel,Components for windows and curtain walls' / 'Doors' / 'Steel,qm,B2,,,,,,
d83bf06c-1b27-4240-8429-0df2b828fe5a,00.00.004,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door steel,Components for windows and curtain walls' / 'Doors' / 'Steel,qm,B3,,,,,,
d83bf06c-1b27-4240-8429-0df2b828fe5a,00.00.004,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door steel,Components for windows and curtain walls' / 'Doors' / 'Steel,qm,B4,,,,,,
d83bf06c-1b27-4240-8429-0df2b828fe5a,00.00.004,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door steel,Components for windows and curtain walls' / 'Doors' / 'Steel,qm,B5,,,,,,
d83bf06c-1b27-4240-8429-0df2b828fe5a,00.00.004,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door steel,Components for windows and curtain walls' / 'Doors' / 'Steel,qm,B6,,,,,,
d83bf06c-1b27-4240-8429-0df2b828fe5a,00.00.004,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door steel,Components for windows and curtain walls' / 'Doors' / 'Steel,qm,B7,,,,,,
d83bf06c-1b27-4240-8429-0df2b828fe5a,00.00.004,Door - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - High-speed spiral door steel,Components for windows and curtain walls' / 'Doors' / 'Steel,qm,C1,,,,,,
