UUID,Version,Name (en),Kategorie (en),Bezugseinheit,Modul,GWP,ODP,POCP,AP,EP,ADPE
0c5b9283-7cd1-4bb5-9028-05bd9f3704de,00.04.000,GLAPOR cellular glass boards,Insulation materials' / 'Foam glass' / 'Panels,m3,A5,,,,,,
0c5b9283-7cd1-4bb5-9028-05bd9f3704de,00.04.000,GLAPOR cellular glass boards,Insulation materials' / 'Foam glass' / 'Panels,m3,C1,,,,,,
0c5b9283-7cd1-4bb5-9028-05bd9f3704de,00.04.000,GLAPOR cellular glass boards,Insulation materials' / 'Foam glass' / 'Panels,m3,C2,,,,,,
0c5b9283-7cd1-4bb5-9028-05bd9f3704de,00.04.000,GLAPOR cellular glass boards,Insulation materials' / 'Foam glass' / 'Panels,m3,C2,,,,,,
0c5b9283-7cd1-4bb5-9028-05bd9f3704de,00.04.000,GLAPOR cellular glass boards,Insulation materials' / 'Foam glass' / 'Panels,m3,C3,,,,,,
0c5b9283-7cd1-4bb5-9028-05bd9f3704de,00.04.000,GLAPOR cellular glass boards,Insulation materials' / 'Foam glass' / 'Panels,m3,C4,,,,,,
0c5b9283-7cd1-4bb5-9028-05bd9f3704de,00.04.000,GLAPOR cellular glass boards,Insulation materials' / 'Foam glass' / 'Panels,m3,D,,,,,,
0c5b9283-7cd1-4bb5-9028-05bd9f3704de,00.04.000,GLAPOR cellular glass boards,Insulation materials' / 'Foam glass' / 'Panels,m3,D,,,,,,
465df431-4227-44fe-a5bf-148106f5ad8e,00.05.000,Sch�ck Isokorb� (X)T Typ Q,Insulation materials' / 'Insulation elements' / 'Isokorb thermal breaks,pcs.,A1-A3,,,,,,
465df431-4227-44fe-a5bf-148106f5ad8e,00.05.000,Sch�ck Isokorb� (X)T Typ Q,Insulation materials' / 'Insulation elements' / 'Isokorb thermal breaks,pcs.,A5,,,,,,
465df431-4227-44fe-a5bf-148106f5ad8e,00.05.000,Sch�ck Isokorb� (X)T Typ Q,Insulation materials' / 'Insulation elements' / 'Isokorb thermal breaks,pcs.,C1,,,,,,
465df431-4227-44fe-a5bf-148106f5ad8e,00.05.000,Sch�ck Isokorb� (X)T Typ Q,Insulation materials' / 'Insulation elements' / 'Isokorb thermal breaks,pcs.,C2,,,,,,
465df431-4227-44fe-a5bf-148106f5ad8e,00.05.000,Sch�ck Isokorb� (X)T Typ Q,Insulation materials' / 'Insulation elements' / 'Isokorb thermal breaks,pcs.,C3,,,,,,
465df431-4227-44fe-a5bf-148106f5ad8e,00.05.000,Sch�ck Isokorb� (X)T Typ Q,Insulation materials' / 'Insulation elements' / 'Isokorb thermal breaks,pcs.,C4,,,,,,
465df431-4227-44fe-a5bf-148106f5ad8e,00.05.000,Sch�ck Isokorb� (X)T Typ Q,Insulation materials' / 'Insulation elements' / 'Isokorb thermal breaks,pcs.,D,,,,,,
e7d4ceb7-da5f-4341-b8f3-ea47bd1fb4bc,00.04.000,Concrete paving stone 8 cm multi-coloured,Mineral building products' / 'Bricks. blocks and elements' / 'Precast concrete elements and goods,qm,A1-A3,,,,,,
e7d4ceb7-da5f-4341-b8f3-ea47bd1fb4bc,00.04.000,Concrete paving stone 8 cm multi-coloured,Mineral building products' / 'Bricks. blocks and elements' / 'Precast concrete elements and goods,qm,C1,,,,,,
e7d4ceb7-da5f-4341-b8f3-ea47bd1fb4bc,00.04.000,Concrete paving stone 8 cm multi-coloured,Mineral building products' / 'Bricks. blocks and elements' / 'Precast concrete elements and goods,qm,C2,,,,,,
e7d4ceb7-da5f-4341-b8f3-ea47bd1fb4bc,00.04.000,Concrete paving stone 8 cm multi-coloured,Mineral building products' / 'Bricks. blocks and elements' / 'Precast concrete elements and goods,qm,C3,,,,,,
